Fecha;year;month;day;day_name;Veh;Linea;Descripcion;Correccion;Sistema;Retraso_minutos;Causó_desalojo;Porcentaje_desalojo;Supervisor_reviso;Cat;Fiabilidad_Servicio
2022-03-29;2022;3;29;Tuesday;2;1;bloqueo a cero bars;se cambio pfn;presostatos;8.0;0;0.0;1319;1;1
2022-03-30;2022;3;30;Wednesday;2;1;bloqueo a cero bars;se cambio contactor de cap;caja de aparatos;7.0;0;0.0;1319;1;1
2022-10-06;2022;10;6;Thursday;2;1;falla de cet y bloqueo 2 bars;se cambio tj de precarga a81 de cet;convertidor de traccion;2.0;0;0.0;915;1;0
2022-10-27;2022;10;27;Thursday;2;1;falla de ventiladores de equipo;se restablecio ventilador de cap;ventiladores de equipo;0.0;0;0.0;915;1;0
2022-12-04;2022;12;4;Sunday;2;1;falla de convertidor de traccion;se cambio fuente de sibas;unidad de control de traccion;0.0;0;0.0;1319;1;0
2023-05-02;2023;5;2;Tuesday;2;1;pantografo replegado;se revisa cea y pantografo;convertidor de auxiliares;0.0;0;0.0;3288;1;0
2023-06-18;2023;6;18;Sunday;2;1;pantografo replegado;no se encontro falla;pantografo;3.0;0;0.0;2274;2;0
2023-06-19;2023;6;19;Monday;2;1;pantografo replegado;se le dio mantenimiento a valvula de encendido;pantografo;3.0;0;0.0;2269;2;0
2023-06-25;2023;6;25;Sunday;2;1;falla de mcp;cambio de empaque de filltro de aceite ;compresor de aire;0.0;0;0.0;2270;4;0
2023-07-13;2023;7;13;Thursday;2;1;bloqueos a 2 bars;se cambia contactor crf;caja de aparatos;0.0;0;0.0;2269;1;0
2023-10-16;2023;10;16;Monday;2;1;no abre la segunda puerta lado izquierdo;se cambiaron empaques de puertas;puertas;0.0;0;0.0;2485;3;0
2024-02-05;2024;2;5;Monday;2;1;se desfasa el velocimetro del scp;se realizo el ajuste de parametros del tom;registrador de eventos;0.0;0;0.0;542;1;0
2024-02-27;2024;2;27;Tuesday;2;1;pierde frenado;se cambio gstf;generador de senal traccion frenado;0.0;0;0.0;2269;1;0
2024-08-11;2024;8;11;Sunday;2;1;reportan falla vent equipo;restablece proteccion;caja de aparatos;0.0;0;0.0;2485;1;0
2025-01-26;2025;1;26;Sunday;2;1;reportan falla conv tracc;se realiza mantenimiento a contactores de alta tension;convertidor de traccion;0.0;0;0.0;2274;1;0
2025-03-14;2025;3;14;Friday;2;1;falla de fusible principal bloqueo 0 bar;se cambio tiristor v21 y se probo ok quedo;convertidor de traccion;0.0;0;0.0;2274;1;0
2025-04-25;2025;4;25;Friday;2;1;presenta bloqueo a 0bar s;se cambio chopper del cet y se cambian fusibles de techo;convertidor de traccion;2.0;1;80.0;3288;1;1
2016-02-23;2016;2;23;Tuesday;3;1;bloqueo a 0 bars pantografo no se sostiene;se resetea el cea;convertidor de auxiliares;1.0;1;60.0;915;1;1
2016-03-17;2016;3;17;Thursday;3;1;fallla de frenado;se cambia unf;unidad neumatica de frenado;0.0;0;0.0;740;3;0
2016-06-05;2016;6;5;Sunday;3;1;bloqueo 0 bar;se cambio unf;unidad neumatica de frenado;18.0;1;80.0;740;3;1
2016-08-12;2016;8;12;Friday;3;1;se repliega pantografo;se normaliza pantografo por disparo ademas se cambian bandas de carbones fracturados;pantografo;9.0;0;0.0;257;3;1
2016-09-24;2016;9;24;Saturday;3;1;falla de ventiladores de equipo;se resetea termico de mvcap;ventiladores de equipo;8.0;1;100.0;593;1;1
2017-02-01;2017;2;1;Wednesday;3;1;falla de cea y pantografo replegado;se cambia igbt y tarjeta de dsisparo;convertidor de auxiliares;4.0;1;50.0;593;1;1
2017-03-22;2017;3;22;Wednesday;3;1;bloqueo a 0 y falla ventiladores de equipo;se resetea termico de ventilador de caja de aparatos;ventiladores de equipo;10.0;1;100.0;593;1;1
2017-04-11;2017;4;11;Tuesday;3;1;falla de ventiladores de equipo;se resetea termico de ventilador de caja de aparatos;ventiladores de equipo;4.0;0;0.0;1319;1;0
2017-04-29;2017;4;29;Saturday;3;1;pantografo replegado;se reviso baterias y circuito del pantografo;pantografo;16.0;1;20.0;3179;3;1
2017-08-03;2017;8;3;Thursday;3;1;bloqueo a 3 bars;se cambia captor de vehiculo;paratren;0.0;0;0.0;1319;1;0
2017-08-26;2017;8;26;Saturday;3;1;rechinido balatas;se cambio charola sibas16;unidad de control de traccion;0.0;0;0.0;289;2;0
2017-10-14;2017;10;14;Saturday;3;1;pantografo replegado y bloq 0bar;se restablece cea;convertidor de auxiliares;11.0;1;70.0;2269;1;1
2017-12-06;2017;12;6;Wednesday;3;1;bloqueoa 3en ocasiones;se cambia perno de acoplador;acoplador;0.0;0;0.0;2485;3;0
2018-01-12;2018;1;12;Friday;3;1;falla de cea;se reseteo cea;convertidor de auxiliares;5.0;1;60.0;593;1;1
